province,financial year,Agriculture and Rural Development,Community Safety,Cooperative Governance and Traditional Affairs,Economic Development and Tourism,Education,Health,Human Settlements,Office of the Premier,Provincial Legislature,Provincial Treasury,Social Development,Transport,total spent
Eastern Cape,2015,0,0,116399000.0,0,1790812000.0,333781000.0,101293000.0,78437000.0,92879000.0,0,0,189277000.0,386125428.5714286
Eastern Cape,2016,0,0,130888000.0,0,1945817000.0,393085000.0,89036000.0,128022000.0,93976000.0,83573000.0,236494000.0,202958000.0,367094333.3333333
Eastern Cape,2017,0,0,149450000.0,0,2149224000.0,369151000.0,91792000.0,154824000.0,120138000.0,91746000.0,256670000.0,193745000.0,397415555.5555556
Eastern Cape,2018,0,0,0,0,37917300.0,1111000.0,6338000.0,0,60647000.0,0,56617000.0,4203708.0,27805668.0
Eastern Cape,2019,0,0,8890000.0,0,39709000.0,1063000.0,5316000.0,14150000.0,58267000.0,3285000.0,48213000.0,4708000.0,20400111.111111112
Free State,2015,107476000.0,0,51181000.0,0,641473000.0,178757000.0,67353000.0,0,0,55180000.0,140214000.0,0,177376285.7142857
Free State,2016,98360000.0,0,63951000.0,0,662128000.0,176836000.0,66225000.0,0,0,56939000.0,141639000.0,0,180868285.7142857
Free State,2017,98506000.0,0,68441000.0,0,665169000.0,203120000.0,79690000.0,0,0,65413000.0,150475000.0,0,190116285.7142857
Free State,2018,0,0,0,0,16917000.0,4238000.0,3418000.0,0,0,2025000.0,10862000.0,0,7492000.0
Free State,2019,2419000.0,0,3950000.0,0,15175000.0,5150000.0,1500000.0,0,19419000.0,2612000.0,11300000.0,0,7690625.0
Gauteng,2015,105038000.0,62082000.0,74808000.0,0,1752987000.0,370768000.0,231488000.0,53436000.0,0,0,197753000.0,0,356045000.0
Gauteng,2016,98190000.0,64487000.0,68976000.0,0,1856533000.0,318701000.0,194474000.0,50181000.0,0,0,209916000.0,0,357682250.0
Gauteng,2017,99480000.0,59961000.0,71760000.0,0,1951942000.0,339636000.0,199350000.0,60693000.0,0,0,227510000.0,0,376291500.0
Gauteng,2018,0,2554000.0,0,0,33558000.0,7713000.0,29305000.0,0,0,0,14192000.0,0,17464400.0
Gauteng,2019,4987000.0,2697000.0,6224000.0,0,43146000.0,8144000.0,11010000.0,1650000.0,25839000.0,4364000.0,36258000.0,0,14431900.0
KwaZulu-Natal,2015,154175000.0,0,0,0,943708000.0,285945000.0,102799000.0,55254000.0,63241000.0,59582000.0,291537000.0,127266000.0,231500777.7777778
KwaZulu-Natal,2016,172921000.0,0,0,0,1049044000.0,310689000.0,102723000.0,53394000.0,82346000.0,69884000.0,194270000.0,118836000.0,239345222.2222222
KwaZulu-Natal,2017,197382000.0,0,0,0,1119412000.0,350675000.0,107692000.0,48558000.0,84085000.0,73590000.0,166860000.0,123493000.0,252416333.33333334
KwaZulu-Natal,2018,0,0,0,0,1332000.0,31813000.0,2548000.0,0,69588000.0,4905000.0,18933000.0,10344000.0,19923285.714285713
KwaZulu-Natal,2019,29345000.0,0,0,0,5955000.0,15914000.0,3297000.0,1461000.0,68692000.0,8342000.0,2879000.0,10272000.0,16239666.666666666
Limpopo,2015,0,0,0,0,1073403000.0,194193000.0,0,82847000.0,42702000.0,94227000.0,151945000.0,277520000.0,273833857.14285713
Limpopo,2016,0,0,0,0,1176974000.0,208107000.0,0,93890000.0,57248000.0,103682000.0,170129000.0,293471000.0,300500142.85714287
Limpopo,2017,0,0,0,0,1252032000.0,222325000.0,0,91417000.0,58574000.0,108600000.0,159912000.0,325198000.0,316865428.5714286
Limpopo,2018,0,0,0,0,17867000.0,376000.0,0,0,43815007.0,8936000.0,37705000.0,6881416.0,19263403.833333332
Limpopo,2019,1000000.0,1627000.0,0,0,30987000.0,397000.0,0,1750000.0,42245000.0,4693000.0,42096000.0,7520000.0,14701666.666666666
Mpumalanga,2015,0,0,0,53070000.0,908588000.0,116544000.0,79593000.0,49482000.0,0,0,140811000.0,0,224681333.33333334
Mpumalanga,2016,0,0,0,0,798653000.0,124933000.0,74077000.0,43503000.0,64365000.0,0,128099000.0,0,205605000.0
Mpumalanga,2017,0,0,0,51280000.0,852595000.0,132070000.0,81085000.0,47547000.0,70068000.0,0,120906000.0,0,193650142.85714287
Mpumalanga,2018,0,0,0,0,4000000.0,2000000.0,1112000.0,0,18257000.0,0,20859000.0,0,9245600.0
Mpumalanga,2019,0,0,0,2825000.0,10000000.0,11112000.0,1185000.0,3074000.0,24152000.0,1830000.0,46623000.0,0,12600125.0
North West,2015,0,0,0,0,0,164326000.0,0,50530000.0,39758000.0,0,101797000.0,0,89102750.0
North West,2016,0,0,0,0,0,168877000.0,0,51761000.0,55955000.0,0,116566000.0,0,98289750.0
North West,2017,0,0,0,0,0,185321000.0,0,65851000.0,128500000.0,0,117569000.0,0,124310250.0
North West,2018,0,0,0,0,0,2195000.0,0,0,89028000.0,0,528000.0,0,30583666.666666668
North West,2019,0,0,0,0,0,1430000.0,0,5180000.0,74854000.0,0,3921000.0,0,21346250.0
Northern Cape,2015,0,0,0,30679000.0,331089000.0,97698000.0,0,36330000.0,36186000.0,44659000.0,87405000.0,0,94863714.28571428
Northern Cape,2016,0,0,0,33580000.0,370370000.0,106365000.0,0,39613000.0,37489000.0,46891000.0,78454000.0,0,101823142.85714285
Northern Cape,2017,0,0,0,36228000.0,411498000.0,114253000.0,0,42536000.0,39876000.0,51161000.0,91218000.0,0,112395714.28571428
Northern Cape,2018,0,0,0,0,4848000.0,2058000.0,0,0,16416000.0,1418506.0,2759000.0,0,5499901.2
Northern Cape,2019,0,0,0,430000.0,12579000.0,2173000.0,0,1175000.0,17483000.0,1825000.0,4270000.0,0,5705000.0
Western Cape,2015,0,27918000.0,0,21313000.0,717211000.0,241069000.0,58686000.0,0,0,26503000.0,106486000.0,0,171312285.7142857
Western Cape,2016,0,32559000.0,0,31502000.0,789165000.0,277909000.0,63234000.0,0,0,25886000.0,120679000.0,0,191562000.0
Western Cape,2017,0,35236000.0,0,35417000.0,851476000.0,304079000.0,63184000.0,0,0,39584000.0,133607000.0,0,208940428.57142857
Western Cape,2018,0,337000.0,0,0,13556000.0,15957000.0,2380000.0,0,0,2462000.0,7604000.0,0,7049333.333333333
Western Cape,2019,0,327000.0,0,3500000.0,14033000.0,17179000.0,2000000.0,0,0,2094000.0,2365000.0,0,5928285.714285715
total spent,,89944538.46153846,26344090.90909091,67909833.33333333,27256727.272727273,659072057.5,142649688.8888889,64106100.0,50233785.71428572,57938322.80645161,38196383.53333333,100156931.81818181,126379541.6,154613648.18387097
